node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,10.98966408,1.58659124,1.00000000,,0.011846,2023-07-23
Chattogram,9.89312172,0.78981459,0.99999994,,0.010664,2023-07-23
Cumilla,29.87570953,1.26131356,1.00000000,,0.032204,2023-07-23
Dhaka,427.95831299,0.77489996,1.00000000,,0.461307,2023-07-23
Khulna,153.46267700,1.10129881,1.00000000,,0.165421,2023-07-23
Mymensingh,129.17973328,0.96089065,1.00000000,,0.139246,2023-07-23
Rajshahi,150.60874939,0.85252488,0.99999994,,0.162345,2023-07-23
Rangpur,3.41152835,0.03927007,1.00000000,,0.003677,2023-07-23
Sylhet,12.32915497,1.63339627,1.00000000,,0.013290,2023-07-23
