component,raw,normalized,driver,date
c1,0.03410998,0.09728525,c2_reserve,2023-07-23
c2,1.03542416,0.55252352,c2_reserve,2023-07-23
c3,0.22539619,0.09832536,c2_reserve,2023-07-23
