timestep,alpha_t,date
0,0.14070307,2023-07-23
1,0.14294025,2023-07-23
2,0.14717138,2023-07-23
3,0.14423116,2023-07-23
4,0.14180140,2023-07-23
5,0.13977733,2023-07-23
6,0.14337535,2023-07-23
