component,raw,normalized,driver,date
c1,0.00000000,0.00000000,c3_limitation,2024-01-18
c2,1.00000000,0.48048600,c3_limitation,2024-01-18
c3,0.88635887,0.96799412,c3_limitation,2024-01-18
