node,shap_mass,attention_inflow,attention_outflow,demand_share,contribution,date
Barishal,3.29242563,1.26804113,0.99999994,,0.006994,2024-01-18
Chattogram,3.75037098,0.93914610,1.00000000,,0.007967,2024-01-18
Cumilla,7.30956125,1.25180149,1.00000012,,0.015528,2024-01-18
Dhaka,299.34622192,0.64835817,1.00000000,,0.635932,2024-01-18
Khulna,66.91333771,1.10173392,1.00000000,,0.142151,2024-01-18
Mymensingh,13.29685879,1.11126685,1.00000000,,0.028248,2024-01-18
Rajshahi,68.89804840,0.82216376,1.00000000,,0.146367,2024-01-18
Rangpur,0.72567630,0.56572771,0.99999988,,0.001542,2024-01-18
Sylhet,7.18775511,1.29176068,0.99999994,,0.015270,2024-01-18
