timestep,alpha_t,date
0,0.26957360,2024-01-18
1,0.12306466,2024-01-18
2,0.12246665,2024-01-18
3,0.13359645,2024-01-18
4,0.11797174,2024-01-18
5,0.11459749,2024-01-18
6,0.11872948,2024-01-18
